Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed
Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: Compatibility modes selected: ps


Circuit: * ============================================================================

Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


No. of Data Rows : 1
v(opa_es) = -2.90015e+00
v(pwr_n) = -4.99994e+00
v(pwr_p) = 4.999943e+00
v(es_state) = 0.000000e+00
v(tp8) = 1.956972e-02
v(opa_out) = -4.63725e+00
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xu4b.vsense                          0.0221082
xu4b.n28678                        0.000489246
xu4b.n28438                        0.000475587
xu4b.n28311                         9.7033e-05
xu4b.n24207                        -2.0214e-10
xu4b.n31303                        0.000489246
xu4b.n31389                              7.749
xu4b.n31737                           -9.99882
u4n                                0.000489246
xu4b.n32236                        0.000489246
xu4b.n32510                        9.03961e-05
xu4b.n46041                           0.229836
xu4b.n55560                        9.03619e-05
xu4b.n57321                        9.03619e-05
xu4b.n59739                            89.1001
xu4b.n59743                        9.03619e-05
xu4b.n59881                        9.03619e-05
xu4b.n59905                           -98.8199
xu4b.n65567                            75.0001
xu4b.n65575                        9.03619e-05
xu4b.n65713                        9.03619e-05
xu4b.n65737                           -82.9999
xu4b.n72064                            9.95204
xu4b.n72073                           -9.94927
xu4b.v11                           9.03613e-05
xu4b.v12                           9.03616e-05
xu4b.n81756                        9.03619e-05
xu4b.n161737                       0.000581575
xu4b.n1356115                         0.302107
xu4b.n1356061                        -0.497893
xu4b.x_u1.7                           0.833786
xu4b.x_u1.8                           0.833786
xu4b.x_u1.3                                  0
xu4b.x_u1.6                                  0
xu4b.x_u1.4                                  0
xu4b.x_u1.5                                  0
xu4b.x_u10.gvo+_int1                         0
xu4b.x_u10.gvo-_int1                         0
xu4b.x_u11.gvo+_int1                         0
xu4b.x_u11.gvo-_int1                         0
xu4b.x_u12.gvo+_int1                         0
xu4b.x_u12.gvo-_int1                         0
xu4b.x_u16.gsw+_int1                         0
xu4b.x_u18.g1_int1                 4.69631e-05
xu4b.x_u18.g1_int2                 0.000491214
xu4b.x_u19.g1_int1                 4.95463e-05
xu4b.x_u19.g1_int2                -0.000491214
xu4b.x_u22.g1_int1                           0
xu4b.x_u23.g1_int1                           0
xu4b.x_u26.g1_int1                 4.91214e-07
xu4b.x_u27.g1_int1                           0
xu4b.x_u30.g1_int1                  3.4334e-14
xu4b.x_u31.g1_int1                 2.22583e-08
xu4b.x_u32.g1_int1                    0.229753
xu4b.x_u35.g1_int1                           0
xu4b.x_u36.3                                 0
xu4b.x_u36.5                                 0
xu4b.x_u37.3                                 0
xu4b.x_u37.5                                 0
xu4b.x_u4.e1_int1                  0.000475587
xu4b.x_u6.g1_int1                  0.000398885
or16m                                0.0195697
r16o                                 0.0195697
nr16m                              0.000489249
r16n                               0.000489249
nr15m                              0.000489243
r15n                               0.000489243
tp8                                  0.0195697
vr5m                                 0.0195697
r5v                                  0.0195697
opa_p                                0.0195697
j1p_ideal                                    5
j1p_lin                                4.99994
pwr_p                                  4.99994
j1n_ideal                                   -5
j1n_lin                               -4.99994
pwr_n                                 -4.99994
c5l                                    4.99994
c5r                                    4.99994
c6l                                   -4.99994
c6r                                   -4.99994
c7l                                    4.99994
c7r                                    4.99994
c8l                                   -4.99994
c8r                                   -4.99994
mcu_en                            -1.45008e-14
led_a                             -2.90017e-09
xu7.a_vmeas_0                     -2.90017e-09
xu7.ph                                       0
opa_es                                -2.90015
xu1.estate                                   0
xu1.esctrl                            -4.99994
es_state                                     0
xu1.xcore.17                          -4.34875
xu1.xcore.13                          -4.34875
xu1.xcore.14                          -4.34875
xu1.xcore.12                          -4.63725
opa_n                                 -4.63725
xu1.xcore.15                          -4.99994
xu1.xcore.16                          -4.99994
xu1.xcore.26                          -4.39081
xu1.xcore.260                      3.73201e-08
xu1.xcore.160                      3.73201e-08
xu1.xcore.19                           3.78519
xu1.xcore.30                          -3.47144
xu1.xcore.20                           4.40399
xu1.xcore.23                           4.99994
xu1.xcore.25                          -4.88203
xu1.xcore.27                          -4.39081
xu1.xcore.24                           4.99994
xu1.xcore.22                           4.79748
xu1.xcore.21                           4.79748
xu1.xcore.48                          -4.78134
xu1.xcore.49                          -4.78134
xu1.xcore.45                          -4.88203
xu1.xcore.47                          -4.78134
xu1.xcore.40                          -4.78134
xu1.xcore.35                           -1.5784
xu1.xcore.37                          -2.30378
xu1.xcore.38                          -4.30483
xu1.xcore.39                          -4.97719
xu1.xcore.31                         -0.908116
xu1.xcore.36                          -4.78134
xu1.xcore.34                          -1.50787
xu1.xcore.33                          -4.12639
xu1.xcore.32                          -2.96959
xu1.xcore.28                         -0.249943
ilim                                  -1.16532
xu1.xcore.42                          -1.61889
xu1.xcore.41                           -4.6005
xu1.xcore.43                          -2.30378
xu1.xcore.52                          -4.09492
xu1.xcore.51                           -4.3819
xu1.xcore.53                          -4.78134
opa_out                               -4.63725
xu1.xcore.10                         -0.208132
xu1.xcore.54                          -4.45995
xu1.xcore.55                          -1.49994
xu1.xcore.18                          -3.04875
xu1.xcore.29                          -3.99994
xu1.xcore.11                         0.0195697
drv                                   -4.63725
spk                                   -4.63725
snub_mid                              -4.63725
b.xu1.b_es_mon#branch                        0
b.xu1.b_es_ctrl#branch                   7e-05
v.xu7.v_dled#branch               -9.32335e-21
b.xu4b.x_u6.bg1#branch            -3.98885e-16
b.xu4b.x_u4.be1#branch            -4.75587e-16
b.xu4b.x_u35.bg1#branch                      0
b.xu4b.x_u32.bg1#branch           -2.29753e-13
b.xu4b.x_u31.bg1#branch           -2.22583e-20
b.xu4b.x_u30.bg1#branch            -3.4334e-26
b.xu4b.x_u27.bg1#branch                      0
b.xu4b.x_u26.bg1#branch           -4.91214e-19
b.xu4b.x_u23.bg1#branch                      0
b.xu4b.x_u22.bg1#branch                      0
b.xu4b.x_u19.bg1#branch            4.91214e-16
b.xu4b.x_u18.bg1#branch           -4.91214e-16
b.xu4b.x_u16.bgsw+#branch                    0
b.xu4b.x_u12.bgvo-#branch                    0
b.xu4b.x_u12.bgvo+#branch                    0
b.xu4b.x_u11.bgvo-#branch                    0
b.xu4b.x_u11.bgvo+#branch                    0
b.xu4b.x_u10.bgvo-#branch                    0
b.xu4b.x_u10.bgvo+#branch                    0
h.xu1.xcore.hhref#branch            4.3833e-12
v.xu1.xcore.v475#branch           -6.65732e-05
h.xu1.xcore.hlref#branch            4.6005e-12
h.xu4b.x_h3.h_h3#branch           -1.80723e-16
v.xu4b.x_h3.vh_h3#branch           5.21539e-10
h.xu4b.x_h2.h_h2#branch           -1.80723e-16
v.xu4b.x_h2.vh_h2#branch          -2.80861e-10
h.xu4b.x_h1.h_h1#branch           -1.65437e-15
v.xu4b.x_h1.vh_h1#branch           4.91214e-07
lcern#branch                      -1.00329e-11
lcerp#branch                       1.01181e-11
lbulkn#branch                     -9.45496e-12
lbulkp#branch                      1.03455e-11
lj1n#branch                         -0.0572055
lj1p#branch                          0.0572055
lvr5#branch                        1.37665e-11
lnr15#branch                       4.89243e-07
lnr16#branch                      -4.89243e-07
lor16#branch                       4.89243e-07
lans#branch                            -0.0039
lfbn#branch                            -0.0039
laps#branch                         0.00390049
lfbp#branch                         0.00390049
lg3#branch                         -2.6006e-10
e.xu1.xcore.ehcl#branch               0.019972
e.xu1.xcore.elcl#branch              0.0188341
e.xu1.xcore.e32#branch             8.01492e-12
e.xu1.xcore.ebuf#branch           -3.05874e-11
e.xu1.xcore.epole#branch          -3.73201e-20
e.xu4b.x_u4.e1#branch             -1.86605e-15
e.xu4b.x_u37.e1#branch                       0
e.xu4b.x_u36.e1#branch                       0
e.xu4b.x_u1.e3#branch              1.50019e-11
e.xu4b.x_u1.e2#branch                        0
e.xu4b.x_u1.e1#branch                        0
e.xu4b.e_e3#branch                -5.86188e-14
e.xu4b.e_e2#branch                  1.5157e-13
e.xu4b.e_e1#branch                 2.65954e-11
v.xu1.xcore.vclmp#branch           -0.00301029
v.xu1.xcore.vcm#branch             2.49672e-11
v.xu1.xcore.ves#branch            -1.52006e-12
vmcu_en#branch                    -2.90015e-12
vj1n_src#branch                      0.0572055
vj1p_src#branch                     -0.0572055
v.xu4b.v_v_orp#branch             -3.02108e-13
v.xu4b.v_v_orn#branch              4.97893e-13
v.xu4b.v_v_iscp#branch              -1.782e-10
v.xu4b.v_v_iscn#branch              1.9764e-10
v.xu4b.v_v_grp#branch                 -1.5e-10
v.xu4b.v_v_grn#branch                 1.66e-10
v.xu4b.v_vcm_min#branch            1.99977e-11
v.xu4b.v_vcm_max#branch           -1.54979e-11
vstart#branch                      -1.0107e-11
vj2n#branch                             0.0039
vj2p#branch                        -0.00390049
vag#branch                          2.3255e-10
a.xu4b.x_u19.ag1#branch_1_0       -4.95463e-17
a.xu4b.x_u18.ag1#branch_1_0       -4.69631e-17


No. of Data Rows : 3177
tp8_max             =  1.956972e-02 at=  2.005240e-04
tp8_min             =  1.956972e-02 at=  2.001600e-04
opa_max             =  -4.637249e+00 at=  2.000550e-04
opa_min             =  -4.637249e+00 at=  2.000650e-04
state_max           =  0.000000e+00 at=  3.000000e-04
state_min           =  0.000000e+00 at=  3.000000e-04
ngspice-42 done
